,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,parent_edu_grouped,average_score,performance_category,prep_effectiveness
0,female,Group B,bachelor's degree,standard,none,72,72,74,Bachelor,72.66666666666667,Medium,7.627725856697822
1,female,Group C,some college,standard,completed,69,90,88,Some College / Associate,82.33333333333333,High,9.663873370577278
2,female,Group B,master's degree,standard,none,90,95,93,Master,92.66666666666667,High,27.627725856697822
3,male,Group A,associate's degree,free/reduced,none,47,57,44,Some College / Associate,49.333333333333336,Low,-15.705607476635514
4,male,Group C,some college,standard,none,76,78,75,Some College / Associate,76.33333333333333,Medium,11.294392523364479
5,female,Group B,associate's degree,standard,none,71,83,78,Some College / Associate,77.33333333333333,Medium,12.294392523364479
6,female,Group B,some college,standard,completed,88,95,92,Some College / Associate,91.66666666666667,High,18.99720670391062
7,male,Group B,some college,free/reduced,none,40,43,39,Some College / Associate,40.666666666666664,Low,-24.372274143302185
8,male,Group D,high school,free/reduced,completed,64,64,67,High School or lower,65.0,Medium,-7.669459962756051
9,female,Group B,high school,free/reduced,none,38,60,50,High School or lower,49.333333333333336,Low,-15.705607476635514
10,male,Group C,associate's degree,standard,none,58,54,52,Some College / Associate,54.666666666666664,Low,-10.372274143302185
11,male,Group D,associate's degree,standard,none,40,52,43,Some College / Associate,45.0,Low,-20.03894080996885
12,female,Group B,high school,standard,none,65,81,73,High School or lower,73.0,Medium,7.9610591900311505
13,male,Group A,some college,standard,completed,78,72,70,Some College / Associate,73.33333333333333,Medium,0.6638733705772779
14,female,Group A,master's degree,standard,none,50,53,58,Master,53.666666666666664,Low,-11.372274143302185
15,female,Group C,some high school,standard,none,69,75,78,High School or lower,74.0,Medium,8.96105919003115
16,male,Group C,high school,standard,none,88,89,86,High School or lower,87.66666666666667,High,22.627725856697822
17,female,Group B,some high school,free/reduced,none,18,32,28,High School or lower,26.0,Low,-39.03894080996885
18,male,Group C,master's degree,free/reduced,completed,46,42,46,Master,44.666666666666664,Low,-28.002793296089386
19,female,Group C,associate's degree,free/reduced,none,54,58,61,Some College / Associate,57.666666666666664,Low,-7.372274143302185
20,male,Group D,high school,standard,none,66,69,63,High School or lower,66.0,Medium,0.9610591900311505
21,female,Group B,some college,free/reduced,completed,65,75,70,Some College / Associate,70.0,Medium,-2.6694599627560507
22,male,Group D,some college,standard,none,44,54,53,Some College / Associate,50.333333333333336,Low,-14.705607476635514
23,female,Group C,some high school,standard,none,69,73,73,High School or lower,71.66666666666667,Medium,6.627725856697822
24,male,Group D,bachelor's degree,free/reduced,completed,74,71,80,Bachelor,75.0,Medium,2.3305400372439493
25,male,Group A,master's degree,free/reduced,none,73,74,72,Master,73.0,Medium,7.9610591900311505
26,male,Group B,some college,standard,none,69,54,55,Some College / Associate,59.333333333333336,Low,-5.705607476635514
27,female,Group C,bachelor's degree,standard,none,67,69,75,Bachelor,70.33333333333333,Medium,5.294392523364479
28,male,Group C,high school,standard,none,70,70,65,High School or lower,68.33333333333333,Medium,3.294392523364479
29,female,Group D,master's degree,standard,none,62,70,75,Master,69.0,Medium,3.9610591900311505
30,female,Group D,some college,standard,none,69,74,74,Some College / Associate,72.33333333333333,Medium,7.294392523364479
31,female,Group B,some college,standard,none,63,65,61,Some College / Associate,63.0,Medium,-2.0389408099688495
32,female,Group E,master's degree,free/reduced,none,56,72,65,Master,64.33333333333333,Medium,-0.7056074766355209
33,male,Group D,some college,standard,none,40,42,38,Some College / Associate,40.0,Low,-25.03894080996885
34,male,Group E,some college,standard,none,97,87,82,Some College / Associate,88.66666666666667,High,23.627725856697822
35,male,Group E,associate's degree,standard,completed,81,81,79,Some College / Associate,80.33333333333333,High,7.663873370577278
36,female,Group D,associate's degree,standard,none,74,81,83,Some College / Associate,79.33333333333333,Medium,14.294392523364479
37,female,Group D,some high school,free/reduced,none,50,64,59,High School or lower,57.666666666666664,Low,-7.372274143302185
38,female,Group D,associate's degree,free/reduced,completed,75,90,88,Some College / Associate,84.33333333333333,High,11.663873370577278
39,male,Group B,associate's degree,free/reduced,none,57,56,57,Some College / Associate,56.666666666666664,Low,-8.372274143302185
40,male,Group C,associate's degree,free/reduced,none,55,61,54,Some College / Associate,56.666666666666664,Low,-8.372274143302185
41,female,Group C,associate's degree,standard,none,58,73,68,Some College / Associate,66.33333333333333,Medium,1.294392523364479
42,female,Group B,associate's degree,standard,none,53,58,65,Some College / Associate,58.666666666666664,Low,-6.372274143302185
43,male,Group B,some college,free/reduced,completed,59,65,66,Some College / Associate,63.333333333333336,Medium,-9.336126629422715
44,female,Group E,associate's degree,free/reduced,none,50,56,54,Some College / Associate,53.333333333333336,Low,-11.705607476635514
45,male,Group B,associate's degree,standard,none,65,54,57,Some College / Associate,58.666666666666664,Low,-6.372274143302185
46,female,Group A,associate's degree,standard,completed,55,65,62,Some College / Associate,60.666666666666664,Medium,-12.002793296089386
47,female,Group C,high school,standard,none,66,71,76,High School or lower,71.0,Medium,5.9610591900311505
48,female,Group D,associate's degree,free/reduced,completed,57,74,76,Some College / Associate,69.0,Medium,-3.6694599627560507
49,male,Group C,high school,standard,completed,82,84,82,High School or lower,82.66666666666667,High,9.99720670391062
50,male,Group E,some college,standard,none,53,55,48,Some College / Associate,52.0,Low,-13.03894080996885
51,male,Group E,associate's degree,free/reduced,completed,77,69,68,Some College / Associate,71.33333333333333,Medium,-1.336126629422722
52,male,Group C,some college,standard,none,53,44,42,Some College / Associate,46.333333333333336,Low,-18.705607476635514
53,male,Group D,high school,standard,none,88,78,75,High School or lower,80.33333333333333,High,15.294392523364479
54,female,Group C,some high school,free/reduced,completed,71,84,87,High School or lower,80.66666666666667,High,7.997206703910621
55,female,Group C,high school,free/reduced,none,33,41,43,High School or lower,39.0,Low,-26.03894080996885
56,female,Group E,associate's degree,standard,completed,82,85,86,Some College / Associate,84.33333333333333,High,11.663873370577278
57,male,Group D,associate's degree,standard,none,52,55,49,Some College / Associate,52.0,Low,-13.03894080996885
58,male,Group D,some college,standard,completed,58,59,58,Some College / Associate,58.333333333333336,Low,-14.336126629422715
59,female,Group C,some high school,free/reduced,none,0,17,10,High School or lower,9.0,Low,-56.03894080996885
60,male,Group E,bachelor's degree,free/reduced,completed,79,74,72,Bachelor,75.0,Medium,2.3305400372439493
61,male,Group A,some high school,free/reduced,none,39,39,34,High School or lower,37.333333333333336,Low,-27.705607476635514
62,male,Group A,associate's degree,free/reduced,none,62,61,55,Some College / Associate,59.333333333333336,Low,-5.705607476635514
63,female,Group C,associate's degree,standard,none,69,80,71,Some College / Associate,73.33333333333333,Medium,8.294392523364479
64,female,Group D,some high school,standard,none,59,58,59,High School or lower,58.666666666666664,Low,-6.372274143302185
65,male,Group B,some high school,standard,none,67,64,61,High School or lower,64.0,Medium,-1.0389408099688495
66,male,Group D,some high school,free/reduced,none,45,37,37,High School or lower,39.666666666666664,Low,-25.372274143302185
67,female,Group C,some college,standard,none,60,72,74,Some College / Associate,68.66666666666667,Medium,3.627725856697822
68,male,Group B,associate's degree,free/reduced,none,61,58,56,Some College / Associate,58.333333333333336,Low,-6.705607476635514
69,female,Group C,associate's degree,standard,none,39,64,57,Some College / Associate,53.333333333333336,Low,-11.705607476635514
70,female,Group D,some college,free/reduced,completed,58,63,73,Some College / Associate,64.66666666666667,Medium,-8.00279329608938
71,male,Group D,some college,standard,completed,63,55,63,Some College / Associate,60.333333333333336,Medium,-12.336126629422715
72,female,Group A,associate's degree,free/reduced,none,41,51,48,Some College / Associate,46.666666666666664,Low,-18.372274143302185
73,male,Group C,some high school,free/reduced,none,61,57,56,High School or lower,58.0,Low,-7.0389408099688495
74,male,Group C,some high school,standard,none,49,49,41,High School or lower,46.333333333333336,Low,-18.705607476635514
75,male,Group B,associate's degree,free/reduced,none,44,41,38,Some College / Associate,41.0,Low,-24.03894080996885
76,male,Group E,some high school,standard,none,30,26,22,High School or lower,26.0,Low,-39.03894080996885
77,male,Group A,bachelor's degree,standard,completed,80,78,81,Bachelor,79.66666666666667,Medium,6.997206703910621
78,female,Group D,some high school,standard,completed,61,74,72,High School or lower,69.0,Medium,-3.6694599627560507
79,female,Group E,master's degree,standard,none,62,68,68,Master,66.0,Medium,0.9610591900311505
80,female,Group B,associate's degree,standard,none,47,49,50,Some College / Associate,48.666666666666664,Low,-16.372274143302185
81,male,Group B,high school,free/reduced,none,49,45,45,High School or lower,46.333333333333336,Low,-18.705607476635514
82,male,Group A,some college,free/reduced,completed,50,47,54,Some College / Associate,50.333333333333336,Low,-22.336126629422715
83,male,Group E,associate's degree,standard,none,72,64,63,Some College / Associate,66.33333333333333,Medium,1.294392523364479
84,male,Group D,high school,free/reduced,none,42,39,34,High School or lower,38.333333333333336,Low,-26.705607476635514
85,female,Group C,some college,standard,none,73,80,82,Some College / Associate,78.33333333333333,Medium,13.294392523364479
86,female,Group C,some college,free/reduced,none,76,83,88,Some College / Associate,82.33333333333333,High,17.29439252336448
87,female,Group D,associate's degree,standard,none,71,71,74,Some College / Associate,72.0,Medium,6.9610591900311505
88,female,Group A,some college,standard,none,58,70,67,Some College / Associate,65.0,Medium,-0.03894080996884952
89,female,Group D,some high school,standard,none,73,86,82,High School or lower,80.33333333333333,High,15.294392523364479
90,female,Group C,bachelor's degree,standard,none,65,72,74,Bachelor,70.33333333333333,Medium,5.294392523364479
